	annot	category	color	lenOG	phrog
365	esterase	other	#838383	50	2
366	esterase/lipase	other	#838383	208	8
367	excisionase	integration and excision	#fea328	1675	28
368	excisionase and transcriptional regulator	integration and excision	#fea328	1257	6
369	exonuclease	DNA, RNA and nucleotide metabolism	#ffdf59	5063	37
370	exonuclease V	DNA, RNA and nucleotide metabolism	#ffdf59	31	1
371	exonuclease VII	DNA, RNA and nucleotide metabolism	#ffdf59	229	1
372	exonuclease VIII	DNA, RNA and nucleotide metabolism	#ffdf59	312	1
373	exonuclease recombination-associated	DNA, RNA and nucleotide metabolism	#ffdf59	197	1
374	exopolyphosphatase	other	#838383	82	1
375	ferredoxin	moron, auxiliary metabolic gene and host takeover	#ff59f5	250	5
376	ferredoxin oxidoreductase	moron, auxiliary metabolic gene and host takeover	#ff59f5	16	1
377	ferrochelatase	moron, auxiliary metabolic gene and host takeover	#ff59f5	89	2
378	fibritin neck whisker	tail	#07e9a2	152	2
379	flagellar protein	moron, auxiliary metabolic gene and host takeover	#ff59f5	13	1
380	flavodoxin	moron, auxiliary metabolic gene and host takeover	#ff59f5	163	1
381	galactosyl transferase	moron, auxiliary metabolic gene and host takeover	#ff59f5	136	3
382	gam-like host nuclease inhibitor	moron, auxiliary metabolic gene and host takeover	#ff59f5	607	2
383	gamma-glutamyl cyclotransferase	moron, auxiliary metabolic gene and host takeover	#ff59f5	58	1
384	genome terminal protein	DNA, RNA and nucleotide metabolism	#ffdf59	13	1
385	glucosyltransferase	moron, auxiliary metabolic gene and host takeover	#ff59f5	224	3
386	glutamine amidotransferase	moron, auxiliary metabolic gene and host takeover	#ff59f5	23	2
387	glutathionylspermidine synthase	moron, auxiliary metabolic gene and host takeover	#ff59f5	20	1
388	glycerophosphoryl diester phosphodiesterase	other	#838383	115	5
389	glycoside hydrolase	other	#838383	50	2
390	glycosyltransferase	moron, auxiliary metabolic gene and host takeover	#ff59f5	715	34
391	goF mRNA metabolism modulator	DNA, RNA and nucleotide metabolism	#ffdf59	69	4
392	gpCom control of modification	DNA, RNA and nucleotide metabolism	#ffdf59	7	1
393	guanylate kinase	other	#838383	114	2
394	haemolysin-type calcium binding	other	#838383	2	1
395	head assembly	head and packaging	#3e83f6	142	2
396	head closure	connector	#35d7ff	1904	6
397	head closure Hc1	connector	#35d7ff	4196	14
398	head closure Hc1	head and packaging	#3e83f6	24	1
399	head closure Hc2	connector	#35d7ff	540	4
400	head closure Hc3	connector	#35d7ff	253	2
401	head decoration	head and packaging	#3e83f6	2477	12
402	head decoration protein	head and packaging	#3e83f6	47	1
403	head fiber protein	head and packaging	#3e83f6	80	5
404	head maturation protease	head and packaging	#3e83f6	7129	54
405	head morphogenesis	head and packaging	#3e83f6	1924	22
406	head protein	head and packaging	#3e83f6	2039	43
407	head scaffolding protein	head and packaging	#3e83f6	5122	42
408	head vertex assembly chaperone	head and packaging	#3e83f6	149	2
409	head-tail adaptor	connector	#35d7ff	5403	25
410	head-tail adaptor Ad1	connector	#35d7ff	5107	10
411	head-tail adaptor Ad2	connector	#35d7ff	512	1
412	head-tail adaptor Ad3	connector	#35d7ff	221	1
413	head-tail connector protein	connector	#35d7ff	1029	31
414	head-tail joining	connector	#35d7ff	22	1
415	helicase	DNA, RNA and nucleotide metabolism	#ffdf59	112	12
416	helicase loader	DNA, RNA and nucleotide metabolism	#ffdf59	93	2
417	helicase subunit of the DNA excision repair complex	DNA, RNA and nucleotide metabolism	#ffdf59	14	1
418	hemagglutinin	other	#838383	12	1
419	hemolysin	other	#838383	284	3
420	high light inducible protein	other	#838383	588	3
421	hinge connector of long tail fiber protein distal connector	tail	#07e9a2	110	2
422	histidyl tRNA synthetase	DNA, RNA and nucleotide metabolism	#ffdf59	28	1
423	histone family DNA-binding	DNA, RNA and nucleotide metabolism	#ffdf59	34	2
424	hol-like chemotaxis	other	#838383	75	4
425	holin	lysis	#f35f49	9018	101
426	holin/anti-holin	lysis	#f35f49	781	5
427	homing endonuclease	DNA, RNA and nucleotide metabolism	#ffdf59	741	13
428	homing endonuclease with GIY-YIG motif	DNA, RNA and nucleotide metabolism	#ffdf59	27	2
429	homing endonuclease with LAGLIDADG motif	DNA, RNA and nucleotide metabolism	#ffdf59	9	1
430	host RecBCD nuclease inhibitor	moron, auxiliary metabolic gene and host takeover	#ff59f5	47	2
431	host nuclease inhibitor	moron, auxiliary metabolic gene and host takeover	#ff59f5	283	3
432	host range and adsorption protein	moron, auxiliary metabolic gene and host takeover	#ff59f5	212	7
433	hyaluronidase	other	#838383	70	3
434	hydrolase	other	#838383	163	18
435	i-spanin	lysis	#f35f49	15	1
436	immunity protein	other	#838383	40	1
437	immunity to superinfection	moron, auxiliary metabolic gene and host takeover	#ff59f5	143	1
438	inhibitor of MrcBC restriction	moron, auxiliary metabolic gene and host takeover	#ff59f5	46	1
439	inhibitor of host Lon protease	other	#838383	82	2
440	inhibitor of host transcription	transcription regulation	#a861e3	126	3
441	inhibitor of transcription initiation and antiterminator	transcription regulation	#a861e3	3	1
442	integrase	integration and excision	#fea328	7482	21
443	internal head protein	head and packaging	#3e83f6	228	8
444	internal virion lysozyme motif	head and packaging	#3e83f6	72	1
445	internal virion protein	head and packaging	#3e83f6	1553	21
446	internal virion protein with endolysin domain	head and packaging	#3e83f6	360	1
447	intron encoded nuclease	DNA, RNA and nucleotide metabolism	#ffdf59	16	1
448	intron-like DNA endonuclease	DNA, RNA and nucleotide metabolism	#ffdf59	8	1
449	involved in bacteriocin production or immunity	moron, auxiliary metabolic gene and host takeover	#ff59f5	153	2
450	kinase	other	#838383	212	14
451	late promoter transcriptional regulator	transcription regulation	#a861e3	476	3
452	late sigma transcription factor	transcription regulation	#a861e3	489	1
453	late transcriptional activator	transcription regulation	#a861e3	440	3
454	lectin	other	#838383	80	1
455	levanase	moron, auxiliary metabolic gene and host takeover	#ff59f5	4	1
456	lipase	moron, auxiliary metabolic gene and host takeover	#ff59f5	20	1
457	lipoprotein	other	#838383	1165	19
458	lipoprotein precursor	other	#838383	14	1
459	long tail fiber protein distal subunit	tail	#07e9a2	132	7
460	long tail fiber protein proximal connector	tail	#07e9a2	143	3
461	lower collar	tail	#07e9a2	27	2
462	lysM motif protein	lysis	#f35f49	120	2
463	lysis determining protein	lysis	#f35f49	80	1
464	lysis inhibition	lysis	#f35f49	131	2
465	lysis inhibition; accessory protein	lysis	#f35f49	104	2
466	lysophospholipase L1-like esterase	other	#838383	13	1
467	lysozyme domain-containing protein	lysis	#f35f49	32	1
468	lytic tail fiber protein	tail	#07e9a2	13	3
469	lytic tail protein	tail	#07e9a2	75	1
470	major capsid protein	head and packaging	#3e83f6	43	1
471	major coat protein	head and packaging	#3e83f6	109	2
472	major head and protease protein	head and packaging	#3e83f6	31	2
473	major head protein	head and packaging	#3e83f6	12783	65
474	major spike protein	head and packaging	#3e83f6	108	2
475	major tail protein	tail	#07e9a2	6690	36
476	major tail protein with Ig-like domain	tail	#07e9a2	179	1
477	mazG nucleotide pyrophosphohydrolase	other	#838383	15	1
478	membrane DNA delivery	moron, auxiliary metabolic gene and host takeover	#ff59f5	14	1
479	membrane associated protein	moron, auxiliary metabolic gene and host takeover	#ff59f5	334	7
480	membrane protein	moron, auxiliary metabolic gene and host takeover	#ff59f5	2287	166
481	membrane-flanked domain	moron, auxiliary metabolic gene and host takeover	#ff59f5	39	1
482	metal-dependent hydrolase	other	#838383	321	1
483	metal-dependent phosphohydrolase	other	#838383	154	3
484	metallo-endopeptidase	other	#838383	21	4
485	metallo-phosphoesterase	other	#838383	601	4
486	metallo-protease	other	#838383	993	1
487	methylamine utilization	other	#838383	285	1
488	methyltransferase	other	#838383	249	27
489	minor coat protein	head and packaging	#3e83f6	116	3
490	minor head protein	head and packaging	#3e83f6	3288	50
491	minor head protein Ace-like	head and packaging	#3e83f6	397	1
492	minor head protein and DNA pilot	head and packaging	#3e83f6	546	3
493	minor head protein inhibitor of protease	head and packaging	#3e83f6	142	1
494	minor head protein; receptor binding	head and packaging	#3e83f6	88	1
495	minor tail protein	tail	#07e9a2	18431	145
496	minor tail protein with lysin activity	tail	#07e9a2	326	1
497	mobile element MPME	moron, auxiliary metabolic gene and host takeover	#ff59f5	80	1
498	morphogenesis (protein I of M13)	head and packaging	#3e83f6	90	1
499	neck passage structure	connector	#35d7ff	63	1
500	neck passage structure protein	connector	#35d7ff	14	1
501	neck protein	connector	#35d7ff	446	9
502	neck protein Ne1	connector	#35d7ff	1	1
503	nicking at origin of replication	DNA, RNA and nucleotide metabolism	#ffdf59	969	1
504	nicotinamide phosphoribosyl transferase	other	#838383	312	4
505	nicotinamide-nucleotide adenylyltransferase	moron, auxiliary metabolic gene and host takeover	#ff59f5	41	1
506	nitroreductase	other	#838383	4	1
507	nuclear shell protein	DNA, RNA and nucleotide metabolism	#ffdf59	28	1
508	nuclease	DNA, RNA and nucleotide metabolism	#ffdf59	199	10
509	nucleoid associated protein	DNA, RNA and nucleotide metabolism	#ffdf59	38	1
510	nucleoside 2-deoxyribosyltransferase	DNA, RNA and nucleotide metabolism	#ffdf59	434	2
511	nucleoside deoxyribosyltransferase	DNA, RNA and nucleotide metabolism	#ffdf59	22	2
512	nucleoside triphosphate pyrophosphohydrolase	DNA, RNA and nucleotide metabolism	#ffdf59	593	1
513	nucleoside triphosphate pyrophosphohydrolase	other	#838383	162	3
514	nucleotidase	DNA, RNA and nucleotide metabolism	#ffdf59	13	1
515	nucleotide kinase	other	#838383	797	8
516	nucleotide pyrophosphohydrolase	other	#838383	251	3
517	nucleotide-sugar epimerase	DNA, RNA and nucleotide metabolism	#ffdf59	254	1
518	nucleotidyltransferase	DNA, RNA and nucleotide metabolism	#ffdf59	498	8
519	nucloid associated Lsr2-like	DNA, RNA and nucleotide metabolism	#ffdf59	127	2
520	nudix hydrolase	other	#838383	151	4
521	ocr-like anti-restriction	moron, auxiliary metabolic gene and host takeover	#ff59f5	57	1
522	outer membrane protein	other	#838383	309	4
523	partition protein	DNA, RNA and nucleotide metabolism	#ffdf59	276	3
524	partition protein ATPase	other	#838383	234	2
525	pectate lyase	moron, auxiliary metabolic gene and host takeover	#ff59f5	12	2
526	pectin lyase activity	moron, auxiliary metabolic gene and host takeover	#ff59f5	2	1
527	pentameric base spike protein	tail	#07e9a2	14	1
528	peptidase	other	#838383	589	26
529	peptidase HslV family	other	#838383	143	1
530	peptide deformylase	other	#838383	50	1
531	peptide methionine sulfoxide reductase	other	#838383	115	1
532	periplasmic protein	other	#838383	62	1
533	peroxyredoxin antioxidant	other	#838383	66	1
534	phosphatase	other	#838383	369	2
535	phosphate transporter subunit	moron, auxiliary metabolic gene and host takeover	#ff59f5	24	1
536	phosphatidylglycerophosphatase A	other	#838383	8	1
537	phospho-2-dehydro-3-deoxyheptonate aldolase	moron, auxiliary metabolic gene and host takeover	#ff59f5	26	1
538	phosphoadenosine phosphosulfate reductase	moron, auxiliary metabolic gene and host takeover	#ff59f5	378	4
539	phosphodiesterase	other	#838383	19	4
540	phosphoesterase	other	#838383	255	2
541	phosphofructokinase	other	#838383	424	3
542	phosphoheptose isomerase	moron, auxiliary metabolic gene and host takeover	#ff59f5	121	1
543	phosphohydrolase	other	#838383	23	5
544	phosphoribosyl transferase	other	#838383	87	3
545	phosphoribosylaminoimidazole synthetase	moron, auxiliary metabolic gene and host takeover	#ff59f5	125	1
546	phosphoribosylaminoimidazole-succinocarboxamide synthase	moron, auxiliary metabolic gene and host takeover	#ff59f5	134	1
547	photosystem I psaA/psaB protein	moron, auxiliary metabolic gene and host takeover	#ff59f5	2	1
548	photosystem II D1	moron, auxiliary metabolic gene and host takeover	#ff59f5	577	2
549	photosystem II D2	moron, auxiliary metabolic gene and host takeover	#ff59f5	6	1
550	pilin	moron, auxiliary metabolic gene and host takeover	#ff59f5	42	1
551	pilot protein for DNA ejection	tail	#07e9a2	168	12
552	plasmid antitoxin with HTH domain	moron, auxiliary metabolic gene and host takeover	#ff59f5	109	2
553	plasmid stability	DNA, RNA and nucleotide metabolism	#ffdf59	244	1
554	plastoquinol terminal oxidase	moron, auxiliary metabolic gene and host takeover	#ff59f5	33	1
555	polarity suppression Psu-like by overcoming Rho	DNA, RNA and nucleotide metabolism	#ffdf59	39	2
556	poly-gamma-glutamate hydrolase	other	#838383	33	1
557	polymerase	DNA, RNA and nucleotide metabolism	#ffdf59	126	8
558	polynucleotide kinase	other	#838383	612	3
559	polynucleotide kinase/phosphorylase	other	#838383	27	1
560	polysaccharide chain length determinant protein	moron, auxiliary metabolic gene and host takeover	#ff59f5	16	1
561	polysaccharide deacetylase	moron, auxiliary metabolic gene and host takeover	#ff59f5	6	2
562	porphyrin biosynthesis	moron, auxiliary metabolic gene and host takeover	#ff59f5	476	1
563	portal protein	head and packaging	#3e83f6	13467	51
564	pre-neck appendage protein	connector	#35d7ff	33	2
565	primase	DNA, RNA and nucleotide metabolism	#ffdf59	25	5
566	primosomal protein	DNA, RNA and nucleotide metabolism	#ffdf59	108	5
567	prohead	head and packaging	#3e83f6	153	4
568	prohead protease inhibitor	head and packaging	#3e83f6	13	1
569	protease	other	#838383	461	15
570	protein kinase; inhibitor of host transcription; positively regulates RNaseIII; negatively on RNaseE	other	#838383	7	2
571	protein with Ig domain	other	#838383	69	1
572	pseudomurein endosiopeptidase	other	#838383	2	1
573	pyramid forming protein	head and packaging	#3e83f6	13	1
574	pyrophosphatase	other	#838383	78	3
575	quaternary ammonium compound-resistance protein QacE	moron, auxiliary metabolic gene and host takeover	#ff59f5	107	1
576	queuine tRNA-ribosyltransferase	moron, auxiliary metabolic gene and host takeover	#ff59f5	317	4
577	quinone oxidoreductase TQO	moron, auxiliary metabolic gene and host takeover	#ff59f5	29	1
578	radical SAM domain protein	other	#838383	12	1
579	radical SAM domain-containing protein	other	#838383	129	10
580	receptor binding tail protein	tail	#07e9a2	137	3
581	recombinase	other	#838383	206	10
582	recombination directionality factor	integration and excision	#fea328	66	4
583	regulator of chromosome condensation	DNA, RNA and nucleotide metabolism	#ffdf59	54	3
584	released from the phage upon host infection	other	#838383	377	4
585	replication	DNA, RNA and nucleotide metabolism	#ffdf59	31	2
586	replication helicase	DNA, RNA and nucleotide metabolism	#ffdf59	185	1
587	replication initiation O-like	DNA, RNA and nucleotide metabolism	#ffdf59	1424	8
588	replication initiation by nicking	DNA, RNA and nucleotide metabolism	#ffdf59	11	1
589	replication initiation protein	DNA, RNA and nucleotide metabolism	#ffdf59	3417	48
590	replication origin binding	DNA, RNA and nucleotide metabolism	#ffdf59	39	1
591	replication protein	DNA, RNA and nucleotide metabolism	#ffdf59	274	15
592	replication terminator	DNA, RNA and nucleotide metabolism	#ffdf59	151	2
593	replicative helicase-primase	DNA, RNA and nucleotide metabolism	#ffdf59	45	1
594	replisome organizer	DNA, RNA and nucleotide metabolism	#ffdf59	60	4
595	replisome organizer DnaA-like	DNA, RNA and nucleotide metabolism	#ffdf59	19	1
596	restriction alleviation ral	DNA, RNA and nucleotide metabolism	#ffdf59	141	1
597	restriction endonuclease	DNA, RNA and nucleotide metabolism	#ffdf59	117	5
598	restriction endonuclease II	DNA, RNA and nucleotide metabolism	#ffdf59	12	4
599	restriction enzyme I	DNA, RNA and nucleotide metabolism	#ffdf59	3	1
600	restriction enzyme III	DNA, RNA and nucleotide metabolism	#ffdf59	3	1
601	rhodanese-related sulfurtransferase	other	#838383	135	2
602	ribonuclease	DNA, RNA and nucleotide metabolism	#ffdf59	44	1
603	ribonuclease toxin of AT system	moron, auxiliary metabolic gene and host takeover	#ff59f5	31	1
604	ribonucleoside diphosphate reductase small subunit	DNA, RNA and nucleotide metabolism	#ffdf59	1010	3
605	ribonucleoside reductase class II	DNA, RNA and nucleotide metabolism	#ffdf59	344	1
606	ribonucleoside-diphosphate reductase beta subunit	DNA, RNA and nucleotide metabolism	#ffdf59	15	1
607	ribonucleoside-diphosphate reductase large subunit	DNA, RNA and nucleotide metabolism	#ffdf59	1001	1
608	ribonucleotide reductase	DNA, RNA and nucleotide metabolism	#ffdf59	455	11
609	ribonucleotide reductase NrdA-like	DNA, RNA and nucleotide metabolism	#ffdf59	3	1
610	ribonucleotide reductase alpha subunit	DNA, RNA and nucleotide metabolism	#ffdf59	28	1
611	ribonucleotide reductase class Ia beta subunit	DNA, RNA and nucleotide metabolism	#ffdf59	30	3
612	ribonucleotide reductase large subunit	DNA, RNA and nucleotide metabolism	#ffdf59	74	3
613	ribose-phosphate pyrophosphokinase	other	#838383	226	1
614	ribosomal protein S21	moron, auxiliary metabolic gene and host takeover	#ff59f5	4	1
615	ribosomal protein S6 glutaminyl transferase	moron, auxiliary metabolic gene and host takeover	#ff59f5	56	1
616	ribosome associated inhibitor A; zinc finger domain	moron, auxiliary metabolic gene and host takeover	#ff59f5	119	1
617	ribulose-1;5-bisphosphate carboxylase/oxygenase small subunit	moron, auxiliary metabolic gene and host takeover	#ff59f5	37	1
618	rolling circle DNA replication initiation	DNA, RNA and nucleotide metabolism	#ffdf59	42	1
619	scaffolding protein	head and packaging	#3e83f6	34	1
620	secreted protein	other	#838383	429	3
621	segregation and condensation complex subunit ScpB	DNA, RNA and nucleotide metabolism	#ffdf59	75	2
622	serine-threonine kinase	other	#838383	123	3
623	short tail fiber protein	tail	#07e9a2	149	5
624	sigma 54 modulation protein/ribosomal protein S30EA	other	#838383	12	1
625	sigma factor	transcription regulation	#a861e3	120	4
626	sigma factor for late transcription	transcription regulation	#a861e3	8	1
627	sigma-K factor	transcription regulation	#a861e3	353	1
628	signal peptide motif	other	#838383	27	1
629	single strand DNA binding protein	DNA, RNA and nucleotide metabolism	#ffdf59	3552	31
630	single strand annealing protein	DNA, RNA and nucleotide metabolism	#ffdf59	132	3
631	site-specific recombination directionality factor RDF	integration and excision	#fea328	830	4
632	spackle periplasmic	other	#838383	94	1
633	spanin	lysis	#f35f49	44	1
634	spore coat protein	head and packaging	#3e83f6	17	1
635	spore protease	other	#838383	14	1
636	sporulation protein	moron, auxiliary metabolic gene and host takeover	#ff59f5	16	3
637	sporulation stage III protein D	moron, auxiliary metabolic gene and host takeover	#ff59f5	9	1
638	starvation-inducible transcriptional regulator	transcription regulation	#a861e3	168	1
639	straight fibre tail protein	tail	#07e9a2	36	1
640	stringent starvation protein Sspb-like	moron, auxiliary metabolic gene and host takeover	#ff59f5	12	1
641	structural protein	head and packaging	#3e83f6	968	10
642	structural protein with Ig domain	head and packaging	#3e83f6	510	1
643	sulfatase-modifying factor enzyme	other	#838383	11	1
644	superinfection exclusion	moron, auxiliary metabolic gene and host takeover	#ff59f5	132	3
645	superinfection exclusion Sie-like	moron, auxiliary metabolic gene and host takeover	#ff59f5	13	1
646	superinfection exclusion SieA-like	moron, auxiliary metabolic gene and host takeover	#ff59f5	15	1
647	superinfection exclusion; inhibits SieB	moron, auxiliary metabolic gene and host takeover	#ff59f5	114	1
648	superoxide dismutase precursor	moron, auxiliary metabolic gene and host takeover	#ff59f5	77	1
649	tRNA amidotransferase	DNA, RNA and nucleotide metabolism	#ffdf59	102	1
650	tRNA methyltransferase	other	#838383	32	2
651	tRNA nucleotidyltransferase	DNA, RNA and nucleotide metabolism	#ffdf59	70	2
652	tRNA splicing ligase	DNA, RNA and nucleotide metabolism	#ffdf59	139	1
653	tRNA splicing ligase RtcB	DNA, RNA and nucleotide metabolism	#ffdf59	2	1
654	tRNA synthetase	DNA, RNA and nucleotide metabolism	#ffdf59	3	2
655	tRNA-His guanylyltransferase	DNA, RNA and nucleotide metabolism	#ffdf59	28	1
656	tail appendage	tail	#07e9a2	14	1
657	tail assembly chaperone	tail	#07e9a2	4455	96
658	tail assembly protein	tail	#07e9a2	3579	14
659	tail associated cell-wall hydrolase	other	#838383	188	1
660	tail associated lysin	tail	#07e9a2	246	2
661	tail chaperone protein	tail	#07e9a2	574	1
662	tail chaperonin	tail	#07e9a2	37	1
663	tail collar fiber protein	tail	#07e9a2	633	8
664	tail collar protein	tail	#07e9a2	97	6
665	tail completion	connector	#35d7ff	52	2
666	tail completion or Neck1 protein	connector	#35d7ff	8526	10
667	tail fiber adhesin	tail	#07e9a2	137	2
668	tail fiber assembly	tail	#07e9a2	1128	7
669	tail fiber assembly protein	tail	#07e9a2	1374	6
670	tail fiber chaperone	tail	#07e9a2	151	2
671	tail fiber protein	tail	#07e9a2	7972	276
672	tail fiber protein and host specificity	tail	#07e9a2	235	1
673	tail fiber protein proximal subunit	tail	#07e9a2	157	2
674	tail fiber protein/ lysozyme	tail	#07e9a2	13	2
675	tail fiber protein; Ig-domain containing	tail	#07e9a2	8	1
676	tail fiber protein; host specificity	tail	#07e9a2	107	5
677	tail injection transglycosylase	other	#838383	16	1
678	tail length tape measure protein	tail	#07e9a2	10195	161
679	tail length tape measure protein chaperone	tail	#07e9a2	2	1
680	tail needle knob	tail	#07e9a2	144	1
681	tail needle protein	tail	#07e9a2	123	1
682	tail protease	other	#838383	34	1
683	tail protein	tail	#07e9a2	14066	237
684	tail protein XkdN-like	tail	#07e9a2	323	1
685	tail protein and host specificity	tail	#07e9a2	112	3
686	tail protein with endopeptidase activity	other	#838383	47	1
687	tail protein with endopeptidase domain	other	#838383	378	1
688	tail protein with lysin activity	tail	#07e9a2	210	4
689	tail protein with peptidase activity	other	#838383	13	1
690	tail sheath	tail	#07e9a2	4019	25
691	tail sheath and receptor binding protein	tail	#07e9a2	6	1
692	tail sheath stabilizer	tail	#07e9a2	497	1
693	tail spike protein	tail	#07e9a2	491	34
694	tail spike protein with colonic acid degradation activity	tail	#07e9a2	14	1
695	tail terminator	connector	#35d7ff	6281	15
696	tail tip protein Tal	head and packaging	#3e83f6	4	1
697	tail tube	tail	#07e9a2	1484	1
698	tail tube protein	tail	#07e9a2	1043	15
699	tail tubular protein	tail	#07e9a2	12	1
700	taurine catabolism dioxygenase	moron, auxiliary metabolic gene and host takeover	#ff59f5	3	1
701	tellurite resistance	moron, auxiliary metabolic gene and host takeover	#ff59f5	245	3
702	terminase	head and packaging	#3e83f6	344	12
703	terminase large subunit	head and packaging	#3e83f6	13496	55
704	terminase small subunit	head and packaging	#3e83f6	10133	72
705	tetrahydrofolate dehydrogenase and cyclohydrolase	other	#838383	16	1
706	thioredoxin domain	DNA, RNA and nucleotide metabolism	#ffdf59	1952	6
707	threonine dehydratase	other	#838383	17	1
708	thymidine kinase	other	#838383	236	2
709	thymidylate kinase	other	#838383	308	5
710	thymidylate synthase	DNA, RNA and nucleotide metabolism	#ffdf59	1774	15
711	thymidylate synthase complementing protein	DNA, RNA and nucleotide metabolism	#ffdf59	12	1
712	toxin	moron, auxiliary metabolic gene and host takeover	#ff59f5	485	14
713	toxin of TA system	moron, auxiliary metabolic gene and host takeover	#ff59f5	47	1
714	toxin-antitoxin system HicB-like	moron, auxiliary metabolic gene and host takeover	#ff59f5	274	1
715	transaldolase	other	#838383	296	1
716	transcription antiterminator	transcription regulation	#a861e3	23	3
717	transcription factor	transcription regulation	#a861e3	40	4
718	transcriptional activator	transcription regulation	#a861e3	820	5
719	transcriptional regulator	transcription regulation	#a861e3	11008	127
720	transcriptional regulator WhiB-like	transcription regulation	#a861e3	157	12
721	transcriptional regulator, D5-like	transcription regulation	#a861e3	379	1
722	transcriptional repressor	transcription regulation	#a861e3	10797	57
723	transfer protein	other	#838383	23	1
724	transglycosylase	other	#838383	232	18
725	translation elongation factor	other	#838383	17	1
726	translation initiation factor	other	#838383	11	1
727	translation repressor	other	#838383	486	2
728	translational regulator	other	#838383	19	1
729	transmembrane protein	other	#838383	16	2
730	transposase	integration and excision	#fea328	4281	43
731	tryptophan halogenase	other	#838383	49	1
732	tubulin PhuZ	DNA, RNA and nucleotide metabolism	#ffdf59	28	1
733	type I-E anti-CRISPR protein	moron, auxiliary metabolic gene and host takeover	#ff59f5	13	1
734	type I-F anti-CRISPR protein	moron, auxiliary metabolic gene and host takeover	#ff59f5	11	1
735	tyrosyl-tRNA synthetase	DNA, RNA and nucleotide metabolism	#ffdf59	12	1
736	undefined	unknown function	#c9c9c9	461589	104077
737	universal stress protein	other	#838383	17	1
738	unknown function	unknown function	#c9c9c9	3312	29
739	upper collar connector	connector	#35d7ff	74	1
740	uracil-DNA glycosylase	DNA, RNA and nucleotide metabolism	#ffdf59	2	1
741	valyl tRNA synthetase modifier	DNA, RNA and nucleotide metabolism	#ffdf59	121	2
742	virion RNA polymerase	DNA, RNA and nucleotide metabolism	#ffdf59	68	1
743	virion structural protein	head and packaging	#3e83f6	9492	411
744	virulence associated	other	#838383	466	1
745	zinc carboxypeptidase	other	#838383	28	1
746	zinc containing alcohol dehydrogenase superfamily	other	#838383	54	1
747	zinc-finger domain protein	other	#838383	45	9
748	zinc-finger protease	other	#838383	16	1
